_id,author,content,description,publishedAt,source.id,source.name,title,url,urlToImage
6472099f8bafdeb2a83021dd,LAURAN NEERGAARD AP Medical Writer,"WASHINGTON -- About 10% of people appear to suffer long COVID after an omicron infection, a lower estimate than earlier in the pandemic, according to a study of nearly 10,000 Americans that aims to h… [+2978 chars]","A U.S. study suggests 1 in 10 people are getting long COVID after an omicron infection, a lower estimate than earlier in the pandemic",2023-05-26T05:43:59Z,abc-news,ABC News,"US study finds 1 in 10 get long COVID after omicron, starts identifying key symptoms - ABC News",https://abcnews.go.com/Health/wireStory/us-study-finds-1-10-long-covid-after-99608525,https://s.abcnews.com/images/Health/wirestory_cc9dcd473f0513e4e62aa7e24940577e_12x5_992.jpg
6472099f8bafdeb2a83021de,University of Nebraska,"Nebraska suffered a 2-1 defeat in 10 innings to top-seeded and 23rd-ranked Maryland in a weather-delayed contest in front of 8,340 fans at Charles Schwab Field on Thursday night in Omaha.Nebraska (32… [+2881 chars]","Nebraska suffered a 2-1 defeat in extra innings to top-seeded and 23rd-ranked Maryland in a weather-delayed contest in front of 8,430 fans at Charles Schwab Field on Thursday night in Omaha.",2023-05-26T05:42:14Z,null,Huskers.com,Huskers Suffer Extra-Inning Setback - University of Nebraska - huskers.com,https://huskers.com/news/2023/5/26/baseball-huskers-suffer-extra-inning-setback.aspx,https://dohz8k90z3boq.cloudfront.net/images/2023/5/25/BSB_B1G_Tournament_G8_vs_Maryland-SB_3014.jpg?preset=large.socialmediaimage
647209b68bafdeb2a83021df,Jeff Cox,"Inflation stayed stubbornly high in April, potentially reinforcing the chances that interest rates could stay higher for longer, according to a gauge released Friday that the Federal Reserve follows … [+3163 chars]","The core personal consumption expenditures price index was expected to increase 0.3% in April, according to a Dow Jones estimate.",2023-05-26T12:36:00Z,null,CNBC,"Inflation rose 0.4% in April and 4.7% from a year ago, according to key gauge for the Fed - CNBC",https://www.cnbc.com/2023/05/26/inflation-rose-0point4percent-in-april-and-4point7percent-from-a-year-ago-according-to-key-gauge-for-the-fed.html,https://image.cnbcfm.com/api/v1/image/107245911-1684930062237-gettyimages-1257640148-MEMORIAL_DAY_GAS.jpeg?v=1685104560&w=1920&h=1080
647209b68bafdeb2a83021e0,https://www.facebook.com/bbcnews,"Media caption, Ukraine clinic devastated Russian missile strike
At least two people have been killed and 23 injured in a missile strike on a medical clinic in the eastern Ukrainian city of Dnipro, t… [+2008 chars]",More than 20 people were injured in the attack on a medical facility in the eastern city of Dnipro.,2023-05-26T12:00:14Z,null,BBC News,Russian rocket attack on Ukraine hospital kills two - BBC,https://www.bbc.com/news/world-europe-65720853,https://ichef.bbci.co.uk/news/1024/branded_news/12775/production/_129873657_photo_2023-05-26_10-09-44.jpg
647209b68bafdeb2a83021e1,Leyla Mohammed,null,"“After being able to communicate what I’ve held in for an extremely long time, I feel so blessed we were able to try to make things RIGHT.”",2023-05-26T11:37:19Z,buzzfeed,Buzzfeed,Britney Spears Meets Up With Her Mom After Messy Feud - BuzzFeed,https://www.buzzfeed.com/leylamohammed/britney-spears-meets-up-mom-lynne-messy-feud,"https://img.buzzfeed.com/buzzfeed-static/static/2023-05/26/10/enhanced/3f665b88bb34/original-3184-1685096760-2.jpg?crop=1243:651;7,0%26downsize=1250:*"
647209b68bafdeb2a83021e2,"Nima Elbagir,Eve Brennan","The US Treasury has sanctioned the head of the Wagner private military group in Mali, Ivan Maslov, as part of its pushback against Wagner activities in Africa funneling support to Russias war against… [+3342 chars]","The US Treasury has sanctioned the head of the Wagner private military group in Mali, Ivan Maslov, as part of its pushback against Wagner activities in Africa funneling support to Russia’s war against Ukraine, according to a press release published on Thursda…",2023-05-26T11:21:00Z,cnn,CNN,"US sanctions Wagner in Mali, confirms CNN investigation on support to Sudan paramilitaries - CNN",https://www.cnn.com/2023/05/26/africa/us-wagner-sanctions-mali-intl/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230526095252-01-us-wagner-sanctions-mali.jpg?c=16x9&q=w_800,c_fill"
647209b68bafdeb2a83021e3,Bobby Kownack,"It's the early days of the offseason program, but the rapport formed between Payton and Wilson will go a long way in determining the fate of the Broncos, who have finished fourth in the AFC West in t… [+2444 chars]","Russell Wilson enters his second season with the Broncos facing the weight of proving doubters wrong. He'll do so this time around with new head coach Sean Payton and former rival Mike McGlinchey protecting him on the offensive line.",2023-05-26T11:18:00Z,nfl-news,NFL News,"Ex-rival Mike McGlinchey won over by Broncos QB Russell Wilson's drive: I 'couldn't stand him' before - NFL.com",https://www.nfl.com/news/ex-rival-mike-mcglinchey-won-over-by-broncos-qb-russell-wilson-s-drive-i-couldn-,https://static.www.nfl.com/image/private/t_editorial_landscape_12_desktop/league/usatiprq3gfjcp4cge7x
647209b68bafdeb2a83021e4,Axios,null,null,2023-05-26T10:31:36Z,axios,Axios,Tesla superchargers open to Ford EV owners in new partnership - Axios,https://www.axios.com/2023/05/25/ford-ev-tesla-supercharger-electric-vehicles,null
647209b68bafdeb2a83021e5,"Chanyaporn Chanjaroen, Hugo Miller","A 
Credit Suisse Group AG unit was ordered to pay billionaire Bidzina Ivanishvili what is set be hundreds of millions of dollars by a Singapore court, in yet another blow for the bank in the long-ru… [+283 chars]","A Credit Suisse Group AG unit was ordered to pay billionaire Bidzina Ivanishvili what is set be hundreds of millions of dollars by a Singapore court, in yet another blow for the bank in the long-running legal saga.",2023-05-26T10:30:52Z,bloomberg,Bloomberg,Credit Suisse Loses Singapore Court Case With Georgia Tycoon Bidzina Ivanishvili - Bloomberg,https://www.bloomberg.com/news/articles/2023-05-26/credit-suisse-loses-singapore-court-case-with-georgian-tycoon,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ieZ9cTmIZImY/v0/1200x938.jpg
647209b68bafdeb2a83021e6,null,"WASHINGTON, May 25 (Reuters) - U.S. President Joe Biden and top congressional Republican Kevin McCarthy are closing in on a deal that would raise the government's $31.4 trillion debt ceiling for two … [+5907 chars]","U.S. President Joe Biden and top congressional Republican Kevin McCarthy are closing in on a deal that would raise the government's $31.4 trillion debt ceiling for two years while capping spending on most items, a U.S. official told Reuters.",2023-05-26T10:14:00Z,reuters,Reuters,"Biden, McCarthy appear near two-year deal on US debt ceiling as default looms - Reuters",https://www.reuters.com/markets/us/white-house-republicans-seek-close-us-debt-ceiling-deal-deadline-nears-2023-05-25/,https://www.reuters.com/resizer/pjsVj1KT60LJ4GGbLGJvMEMzvSk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/2M6UZWAYHVJDZLUELMQ4OEUQEM.jpg
647209b68bafdeb2a83021e7,"Nicki Brown,Melissa Alonso",An Indianapolis doctor who publicly revealed she provided abortion services to a 10-year-old Ohio rape victim last year has been reprimanded and fined by Indianas medical licensing board after it det… [+5041 chars],An Indianapolis doctor who publicly revealed she provided abortion services to a 10-year-old Ohio rape victim last year has been reprimanded and fined by Indiana’s medical licensing board after it determined the disclosure violated federal and state patient p…,2023-05-26T09:41:00Z,cnn,CNN,Indiana medical board reprimands doctor who publicly discussed providing abortion services to 10-year-old Ohio rape victim - CNN,https://www.cnn.com/2023/05/26/us/dr-caitlin-bernard-indiana-medical-board-hearing/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230526115232-02-dr-caitlin-bernard-hearing-0525.jpg?c=16x9&q=w_800,c_fill"
647209b68bafdeb2a83021e8,null,"WASHINGTON -- Inadequate medical screening and uninformed medical staff contributed to the death of a Navy SEAL candidate hours after he had completed a brutal part of the training course known as ""H… [+5337 chars]","In February 2022, Navy SEAL candidate Kyle Mullen of New Jersey had just completed Hell Week and underwent a final medical check before he went to rest at his barracks. Eight hours later, Mullen was pronounced dead.",2023-05-26T09:39:47Z,null,WPVI-TV,"Death of New Jersey Navy Seal candidate prompts overhaul of how 'Hell Week' training course is monitored - WPVI-TV",https://6abc.com/navy-hell-week-seal-candidate-kyle-mullen-death-new-jersey-native-overhaul/13302308/,https://cdn.abcotvs.com/dip/images/13302198_052623-wpvi-navy-hell-week-430am-vid.jpg?w=1600
647209b68bafdeb2a83021e9,Al Jazeera,"A Mississippi family is demanding a police officer be charged with aggravated assault for shooting an 11-year-old boy after police responded to the childs own domestic disturbance call at his home.
… [+2326 chars]","Lawyer says Aderrien Murry, who called police at the request of his mother, was unarmed and following instructions.",2023-05-26T09:31:32Z,al-jazeera-english,Al Jazeera English,"Mississippi family seeks charges after policeman shoots boy, 11 - Al Jazeera English",https://www.aljazeera.com/news/2023/5/26/mississippi-family-seeks-charges-after-policeman-shoots-boy-11,https://www.aljazeera.com/wp-content/uploads/2023/05/AP23145670812038-1685085748.jpg?resize=1200%2C675
647209b68bafdeb2a83021ea,Cheri Mossburg,A man has been freed from prison after serving 33 years for a crime Los Angeles prosecutors now say he didnt commit after reviewing exonerating evidence that was revealed by another prisoner six year… [+3113 chars],"A man has been freed from prison after serving 33 years for a crime Los Angeles prosecutors now say he didn’t commit after reviewing exonerating evidence that was revealed by another prisoner six years ago, the district attorney announced.",2023-05-26T09:30:00Z,cnn,CNN,California man who served 33 years in prison is freed years after exculpatory evidence comes to light - CNN,https://www.cnn.com/2023/05/26/us/los-angeles-daniel-saldana-prison-sentence-exonerated/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230526144048-los-angeles-daniel-saldana-prison-sentence-exonerated.jpg?c=16x9&q=w_800,c_fill"
647209b68bafdeb2a83021eb,"Yoonjung Seo,Brad Lendon","The door of an Asiana Airlines jet opened as it was coming in to land in Daegu, South Korea, on Friday afternoon, leaving wind whipping through the planes cabin as terrified passengers gripped their … [+1865 chars]","The door of an Asiana Airlines jet opened as it was coming in to land in Daegu, South Korea, on Friday afternoon, leaving wind whipping through the plane’s cabin as terrified passengers gripped their armrests, video of the incident shows.",2023-05-26T09:21:00Z,cnn,CNN,Terrifying moments as plane door opens midair on Asiana Airlines flight - CNN,https://www.cnn.com/2023/05/26/asia/south-korea-plane-door-opens-midair-intl-hnk/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230526041658-asiana-airlines-plane-door-052623.jpg?c=16x9&q=w_800,c_fill"
647209b68bafdeb2a83021ec,null,"All the latest developments from the war in Ukraine. 
 Ukraine claims shooting down Russian drones and missiles overnight
Ukraine shot down ten missiles and 25 drones launched by Russia overnight a… [+4026 chars]",All the latest developments from the war in Ukraine.,2023-05-26T08:16:51Z,null,Euronews,"Ukraine war: Russian missiles shot down, alliance for Ukraine's F-16s, Scholz to talk to Putin soon - Euronews",https://www.euronews.com/2023/05/26/ukraine-war-drones-and-missiles-shot-down-alliance-for-ukraines-f-16s-wagner-mali-sanction,https://static.euronews.com/articles/stories/07/63/13/80/1000x563_cmsv2_5562ea3d-2b0e-5f4b-989a-24c812b62889-7631380.jpg
647209b68bafdeb2a83021ed,"Oliver O'Connell","Sign up for the daily Inside Washington email for exclusive US coverage and analysis sent to your inbox
Get our free Inside Washington email
Ron DeSantis suffered yet another technical glitch as he… [+7223 chars]",Florida Gov. Ron DeSantis launches presidential campaign,2023-05-26T08:15:56Z,independent,Independent,"Ron DeSantis floats Trump and Jan 6 pardons after 'train wreck' Twitter launch - live - The Independent",https://www.independent.co.uk/news/world/americas/us-politics/ron-desantis-vp-florida-governor-campaign-twitter-b2346278.html,https://static.independent.co.uk/2023/05/24/23/newFile.jpg?quality=75&width=1200&auto=webp
647209b68bafdeb2a83021ee,Kevin Robbins,"Day includes heroic par from bridge on par-4 10th hole at Colonial CC
FORT WORTH, Texas Michael Block took his first question Thursday after the opening day of the Charles Schwab Challenge.
How wou… [+2221 chars]",Day includes heroic par from bridge on par-4 10th hole at Colonial CC,2023-05-26T06:52:04Z,null,pgatour.com,Michael Block still grateful after opening-round 81 at Charles Schwab - PGA TOUR - PGA TOUR,https://www.pgatour.com/article/news/latest/2023/05/25/michael-block-saves-par-from-bridge-at-charles-schwab-challenge-colonial,"https://res.cloudinary.com/pgatour-prod/w_1200,h_628,c_fill,f_auto/pgatour/news/editorial/2023/05/25/block-1694.jpg"
647209b68bafdeb2a83021ef,Al Jazeera,"United States regulators have given approval for Elon Musks start-up Neuralink to test its brain implants on people.
Neuralink said on Thursday that it received clearance from the US Food and Drug A… [+3552 chars]",Neuralink cleared by US FDA to study implant allowing interface between human brains and computers.,2023-05-26T06:44:12Z,al-jazeera-english,Al Jazeera English,Elon Musk’s Neuralink brain implant firm cleared for human trials - Al Jazeera English,https://www.aljazeera.com/news/2023/5/26/elon-musks-neuralink-brain-implant-firm-cleared-for-human-trials,https://www.aljazeera.com/wp-content/uploads/2023/05/2022-12-19T000000Z_933921660_RC279Y9AGPQZ_RTRMADP_3_NEURALINK-MUSK-USDA-1685080597.jpg?resize=1920%2C1440
647209b68bafdeb2a83021f0,Bevan Hurley,"Sign up to Roisin OConnors free weekly newsletter Now Hear This for the inside track on all things music
Get our Now Hear This email for free
Tina Turner died of natural causes on Wednesday (24 May… [+4364 chars]",Tina Turner dies aged 83,2023-05-26T06:02:17Z,independent,Independent,"Tina Turner death – latest: Legendary singer's cause of death revealed after she dies aged 83 - The Independent",https://www.independent.co.uk/arts-entertainment/music/news/tina-turner-death-switzerland-hits-latest-news-b2346240.html,https://static.independent.co.uk/2023/05/24/21/28809c3a576a5c1f82c07a2411b581e0Y29udGVudHNlYXJjaGFwaSwxNjg1MDQ0Njgw-2.72335001.jpg?quality=75&width=1200&auto=webp
647209b68bafdeb2a83021f1,LAURAN NEERGAARD AP Medical Writer,"WASHINGTON -- About 10% of people appear to suffer long COVID after an omicron infection, a lower estimate than earlier in the pandemic, according to a study of nearly 10,000 Americans that aims to h… [+2978 chars]","A U.S. study suggests 1 in 10 people are getting long COVID after an omicron infection, a lower estimate than earlier in the pandemic",2023-05-26T05:43:59Z,abc-news,ABC News,"US study finds 1 in 10 get long COVID after omicron, starts identifying key symptoms - ABC News",https://abcnews.go.com/Health/wireStory/us-study-finds-1-10-long-covid-after-99608525,https://s.abcnews.com/images/Health/wirestory_cc9dcd473f0513e4e62aa7e24940577e_12x5_992.jpg
647209b68bafdeb2a83021f2,University of Nebraska,"Nebraska suffered a 2-1 defeat in 10 innings to top-seeded and 23rd-ranked Maryland in a weather-delayed contest in front of 8,340 fans at Charles Schwab Field on Thursday night in Omaha.Nebraska (32… [+2881 chars]","Nebraska suffered a 2-1 defeat in extra innings to top-seeded and 23rd-ranked Maryland in a weather-delayed contest in front of 8,430 fans at Charles Schwab Field on Thursday night in Omaha.",2023-05-26T05:42:14Z,null,Huskers.com,Huskers Suffer Extra-Inning Setback - University of Nebraska - huskers.com,https://huskers.com/news/2023/5/26/baseball-huskers-suffer-extra-inning-setback.aspx,https://dohz8k90z3boq.cloudfront.net/images/2023/5/25/BSB_B1G_Tournament_G8_vs_Maryland-SB_3014.jpg?preset=large.socialmediaimage
